Region Code;Region Name;Code of Electoral District;Name of Electoral District;Code of Territorial District;Name of Territorial District;Party Number;Party Name;Votes;Vote Share in %;Party Voters Using their Right of Preferential Voting;Preferential Vote Share in %
1;Region of Bratislava;101;Bratislava;101;Bratislava I;22;Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť;162;0.53;141;87,03
1;Region of Bratislava;101;Bratislava;101;Bratislava I;23;Práca slovenského národa;10;0.03;7;70,00
1;Region of Bratislava;101;Bratislava;101;Bratislava I;24;Kotlebovci - Ľudová strana Naše Slovensko;899;2.96;725;80,64
1;Region of Bratislava;101;Bratislava;101;Bratislava I;25;Socialisti.sk;138;0.45;90;65,21
1;Region of Bratislava;101;Bratislava;102;Bratislava II;1;Slovenská ľudová strana Andreja Hlinku;46;0.06;20;43,47
1;Region of Bratislava;101;Bratislava;102;Bratislava II;2;DOBRÁ VOĽBA;2357;3.12; 1 944;82,47
1;Region of Bratislava;101;Bratislava;102;Bratislava II;3;Sloboda a Solidarita;10381;13.74; 8 545;82,31
1;Region of Bratislava;101;Bratislava;102;Bratislava II;4;SME RODINA;4311;5.7; 3 493;81,02
1;Region of Bratislava;101;Bratislava;102;Bratislava II;5;Slovenské Hnutie Obrody;25;0.03;17;68,00
1;Region of Bratislava;101;Bratislava;102;Bratislava II;6;ZA ĽUDÍ;7295;9.65; 5 989;82,09
1;Region of Bratislava;101;Bratislava;102;Bratislava II;7;MÁME TOHO DOSŤ !;93;0.12;50;53,76
1;Region of Bratislava;101;Bratislava;102;Bratislava II;9;Slovenská národná strana;1386;1.83; 1 092;78,78
1;Region of Bratislava;101;Bratislava;102;Bratislava II;10;Demokratická strana;112;0.14;98;87,50
1;Region of Bratislava;101;Bratislava;102;Bratislava II;11;OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA;19040;25.2; 16 722;87,82
1;Region of Bratislava;101;Bratislava;102;Bratislava II;12;Koalícia Progresívne Slovensko a SPOLU - občianska demokracia;11610;15.37; 10 155;87,46
1;Region of Bratislava;101;Bratislava;102;Bratislava II;13;STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI;73;0.09;60;82,19
1;Region of Bratislava;101;Bratislava;102;Bratislava II;14;99 % - občiansky hlas;34;0.04;29;85,29
1;Region of Bratislava;101;Bratislava;102;Bratislava II;15;Kresťanskodemokratické hnutie;3183;4.21; 2 756;86,58
1;Region of Bratislava;101;Bratislava;102;Bratislava II;16;Slovenská liga;19;0.02;13;68,42
1;Region of Bratislava;101;Bratislava;102;Bratislava II;17;VLASŤ;1804;2.38; 1 563;86,64
1;Region of Bratislava;101;Bratislava;102;Bratislava II;18;MOST - HÍD;1112;1.47;948;85,25
1;Region of Bratislava;101;Bratislava;102;Bratislava II;19;SMER - sociálna demokracia;8643;11.44; 7 522;87,02
1;Region of Bratislava;101;Bratislava;102;Bratislava II;20;SOLIDARITA - Hnutie pracujúcej chudoby;50;0.06;28;56,00
1;Region of Bratislava;101;Bratislava;102;Bratislava II;21;HLAS ĽUDU;58;0.07;49;84,48
1;Region of Bratislava;101;Bratislava;102;Bratislava II;22;Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť;582;0.77;500;85,91
1;Region of Bratislava;101;Bratislava;102;Bratislava II;23;Práca slovenského národa;22;0.02;17;77,27
1;Region of Bratislava;101;Bratislava;102;Bratislava II;24;Kotlebovci - Ľudová strana Naše Slovensko;2923;3.86; 2 465;84,33
1;Region of Bratislava;101;Bratislava;102;Bratislava II;25;Socialisti.sk;375;0.49;270;72,00
1;Region of Bratislava;101;Bratislava;103;Bratislava III;1;Slovenská ľudová strana Andreja Hlinku;15;0.03;12;80,00
1;Region of Bratislava;101;Bratislava;103;Bratislava III;2;DOBRÁ VOĽBA;1743;3.83; 1 515;86,91
1;Region of Bratislava;101;Bratislava;103;Bratislava III;3;Sloboda a Solidarita;6320;13.91; 5 124;81,07
1;Region of Bratislava;101;Bratislava;103;Bratislava III;4;SME RODINA;2186;4.81; 1 718;78,59
1;Region of Bratislava;101;Bratislava;103;Bratislava III;5;Slovenské Hnutie Obrody;15;0.03;12;80,00
1;Region of Bratislava;101;Bratislava;103;Bratislava III;6;ZA ĽUDÍ;4695;10.33; 3 830;81,57
1;Region of Bratislava;101;Bratislava;103;Bratislava III;7;MÁME TOHO DOSŤ !;47;0.1;29;61,70
1;Region of Bratislava;101;Bratislava;103;Bratislava III;9;Slovenská národná strana;894;1.96;739;82,66
1;Region of Bratislava;101;Bratislava;103;Bratislava III;10;Demokratická strana;69;0.15;54;78,26
1;Region of Bratislava;101;Bratislava;103;Bratislava III;11;OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA;10648;23.44; 9 392;88,20
1;Region of Bratislava;101;Bratislava;103;Bratislava III;12;Koalícia Progresívne Slovensko a SPOLU - občianska demokracia;7759;17.08; 6 789;87,49
1;Region of Bratislava;101;Bratislava;103;Bratislava III;13;STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI;19;0.04;13;68,42
1;Region of Bratislava;101;Bratislava;103;Bratislava III;14;99 % - občiansky hlas;14;0.03;10;71,42
1;Region of Bratislava;101;Bratislava;103;Bratislava III;15;Kresťanskodemokratické hnutie;2061;4.53; 1 753;85,05
1;Region of Bratislava;101;Bratislava;103;Bratislava III;16;Slovenská liga;10;0.02;8;80,00
1;Region of Bratislava;101;Bratislava;103;Bratislava III;17;VLASŤ;1133;2.49;964;85,08
1;Region of Bratislava;101;Bratislava;103;Bratislava III;18;MOST - HÍD;335;0.73;282;84,17
1;Region of Bratislava;101;Bratislava;103;Bratislava III;19;SMER - sociálna demokracia;5173;11.38; 4 461;86,23
1;Region of Bratislava;101;Bratislava;103;Bratislava III;20;SOLIDARITA - Hnutie pracujúcej chudoby;22;0.04;15;68,18
1;Region of Bratislava;101;Bratislava;103;Bratislava III;21;HLAS ĽUDU;25;0.05;19;76,00
1;Region of Bratislava;101;Bratislava;103;Bratislava III;22;Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť;152;0.33;136;89,47
1;Region of Bratislava;101;Bratislava;103;Bratislava III;23;Práca slovenského národa;11;0.02;5;45,45
1;Region of Bratislava;101;Bratislava;103;Bratislava III;24;Kotlebovci - Ľudová strana Naše Slovensko;1825;4.01; 1 566;85,80
1;Region of Bratislava;101;Bratislava;103;Bratislava III;25;Socialisti.sk;254;0.55;194;76,37
1;Region of Bratislava;101;Bratislava;104;Bratislava IV;1;Slovenská ľudová strana Andreja Hlinku;36;0.05;24;66,66
1;Region of Bratislava;101;Bratislava;104;Bratislava IV;2;DOBRÁ VOĽBA;2090;3.24; 1 695;81,10
1;Region of Bratislava;101;Bratislava;104;Bratislava IV;3;Sloboda a Solidarita;8562;13.27; 6 743;78,75
1;Region of Bratislava;101;Bratislava;104;Bratislava IV;4;SME RODINA;3661;5.67; 2 890;78,94
1;Region of Bratislava;101;Bratislava;104;Bratislava IV;5;Slovenské Hnutie Obrody;27;0.04;15;55,55
1;Region of Bratislava;101;Bratislava;104;Bratislava IV;6;ZA ĽUDÍ;6600;10.23; 5 314;80,51
1;Region of Bratislava;101;Bratislava;104;Bratislava IV;7;MÁME TOHO DOSŤ !;92;0.14;53;57,60
1;Region of Bratislava;101;Bratislava;104;Bratislava IV;9;Slovenská národná strana;1298;2.01; 1 037;79,89
1;Region of Bratislava;101;Bratislava;104;Bratislava IV;10;Demokratická strana;79;0.12;68;86,07
1;Region of Bratislava;101;Bratislava;104;Bratislava IV;11;OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA;15521;24.06; 13 536;87,21
1;Region of Bratislava;101;Bratislava;104;Bratislava IV;12;Koalícia Progresívne Slovensko a SPOLU - občianska demokracia;10121;15.69; 8 597;84,94
1;Region of Bratislava;101;Bratislava;104;Bratislava IV;13;STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI;24;0.03;15;62,50
1;Region of Bratislava;101;Bratislava;104;Bratislava IV;14;99 % - občiansky hlas;19;0.02;11;57,89
1;Region of Bratislava;101;Bratislava;104;Bratislava IV;15;Kresťanskodemokratické hnutie;3100;4.8; 2 634;84,96
1;Region of Bratislava;101;Bratislava;104;Bratislava IV;16;Slovenská liga;31;0.04;25;80,64
1;Region of Bratislava;101;Bratislava;104;Bratislava IV;17;VLASŤ;1592;2.46; 1 367;85,86
1;Region of Bratislava;101;Bratislava;104;Bratislava IV;18;MOST - HÍD;427;0.66;344;80,56
1;Region of Bratislava;101;Bratislava;104;Bratislava IV;19;SMER - sociálna demokracia;7667;11.88; 6 582;85,84
1;Region of Bratislava;101;Bratislava;104;Bratislava IV;20;SOLIDARITA - Hnutie pracujúcej chudoby;31;0.04;16;51,61
1;Region of Bratislava;101;Bratislava;104;Bratislava IV;21;HLAS ĽUDU;50;0.07;42;84,00
1;Region of Bratislava;101;Bratislava;104;Bratislava IV;22;Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť;195;0.3;148;75,89
1;Region of Bratislava;101;Bratislava;104;Bratislava IV;23;Práca slovenského národa;27;0.04;16;59,25
1;Region of Bratislava;101;Bratislava;104;Bratislava IV;24;Kotlebovci - Ľudová strana Naše Slovensko;2859;4.43; 2 344;81,98
1;Region of Bratislava;101;Bratislava;104;Bratislava IV;25;Socialisti.sk;389;0.6;258;66,32
1;Region of Bratislava;101;Bratislava;105;Bratislava V;1;Slovenská ľudová strana Andreja Hlinku;53;0.07;30;56,60
1;Region of Bratislava;101;Bratislava;105;Bratislava V;2;DOBRÁ VOĽBA;2053;2.77; 1 622;79,00
1;Region of Bratislava;101;Bratislava;105;Bratislava V;3;Sloboda a Solidarita;9297;12.54; 7 336;78,90
1;Region of Bratislava;101;Bratislava;105;Bratislava V;4;SME RODINA;5092;6.87; 3 855;75,70
1;Region of Bratislava;101;Bratislava;105;Bratislava V;5;Slovenské Hnutie Obrody;42;0.05;32;76,19
1;Region of Bratislava;101;Bratislava;105;Bratislava V;6;ZA ĽUDÍ;6684;9.01; 5 309;79,42
1;Region of Bratislava;101;Bratislava;105;Bratislava V;7;MÁME TOHO DOSŤ !;127;0.17;74;58,26
1;Region of Bratislava;101;Bratislava;105;Bratislava V;9;Slovenská národná strana;1475;1.99; 1 165;78,98
1;Region of Bratislava;101;Bratislava;105;Bratislava V;10;Demokratická strana;106;0.14;87;82,07
1;Region of Bratislava;101;Bratislava;105;Bratislava V;11;OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA;19372;26.13; 16 216;83,70
1;Region of Bratislava;101;Bratislava;105;Bratislava V;12;Koalícia Progresívne Slovensko a SPOLU - občianska demokracia;10367;13.98; 8 558;82,55
1;Region of Bratislava;101;Bratislava;105;Bratislava V;13;STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI;39;0.05;30;76,92
1;Region of Bratislava;101;Bratislava;105;Bratislava V;14;99 % - občiansky hlas;38;0.05;24;63,15
1;Region of Bratislava;101;Bratislava;105;Bratislava V;15;Kresťanskodemokratické hnutie;2937;3.96; 2 435;82,90
1;Region of Bratislava;101;Bratislava;105;Bratislava V;16;Slovenská liga;22;0.02;14;63,63
1;Region of Bratislava;101;Bratislava;105;Bratislava V;17;VLASŤ;2088;2.81; 1 755;84,05
1;Region of Bratislava;101;Bratislava;105;Bratislava V;18;MOST - HÍD;689;0.92;555;80,55
1;Region of Bratislava;101;Bratislava;105;Bratislava V;19;SMER - sociálna demokracia;9228;12.45; 7 699;83,43
1;Region of Bratislava;101;Bratislava;105;Bratislava V;20;SOLIDARITA - Hnutie pracujúcej chudoby;50;0.06;25;50,00
1;Region of Bratislava;101;Bratislava;105;Bratislava V;21;HLAS ĽUDU;50;0.06;34;68,00
1;Region of Bratislava;101;Bratislava;105;Bratislava V;22;Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť;340;0.45;266;78,23
1;Region of Bratislava;101;Bratislava;105;Bratislava V;23;Práca slovenského národa;31;0.04;14;45,16
1;Region of Bratislava;101;Bratislava;105;Bratislava V;24;Kotlebovci - Ľudová strana Naše Slovensko;3491;4.71; 2 820;80,77
1;Region of Bratislava;101;Bratislava;105;Bratislava V;25;Socialisti.sk;442;0.59;320;72,39
1;Region of Bratislava;102;Malacky;106;Malacky;1;Slovenská ľudová strana Andreja Hlinku;91;0.21;60;65,93
1;Region of Bratislava;102;Malacky;106;Malacky;2;DOBRÁ VOĽBA;1229;2.93;924;75,18
1;Region of Bratislava;102;Malacky;106;Malacky;3;Sloboda a Solidarita;3373;8.06; 2 532;75,06
1;Region of Bratislava;102;Malacky;106;Malacky;4;SME RODINA;4010;9.58; 3 058;76,25
1;Region of Bratislava;102;Malacky;106;Malacky;5;Slovenské Hnutie Obrody;23;0.05;16;69,56
1;Region of Bratislava;102;Malacky;106;Malacky;6;ZA ĽUDÍ;2736;6.54; 2 030;74,19
1;Region of Bratislava;102;Malacky;106;Malacky;7;MÁME TOHO DOSŤ !;103;0.24;51;49,51
1;Region of Bratislava;102;Malacky;106;Malacky;9;Slovenská národná strana;857;2.04;612;71,41
1;Region of Bratislava;102;Malacky;106;Malacky;10;Demokratická strana;66;0.15;57;86,36
1;Region of Bratislava;102;Malacky;106;Malacky;11;OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA;13410;32.05; 10 863;81,00
1;Region of Bratislava;102;Malacky;106;Malacky;12;Koalícia Progresívne Slovensko a SPOLU - občianska demokracia;3549;8.48; 2 814;79,28
1;Region of Bratislava;102;Malacky;106;Malacky;13;STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI;19;0.04;8;42,10
1;Region of Bratislava;102;Malacky;106;Malacky;14;99 % - občiansky hlas;10;0.02;7;70,00
1;Region of Bratislava;102;Malacky;106;Malacky;15;Kresťanskodemokratické hnutie;1329;3.17; 1 022;76,89
1;Region of Bratislava;102;Malacky;106;Malacky;16;Slovenská liga;9;0.02;6;66,66
1;Region of Bratislava;102;Malacky;106;Malacky;17;VLASŤ;1009;2.41;841;83,34
1;Region of Bratislava;102;Malacky;106;Malacky;18;MOST - HÍD;140;0.33;107;76,42
1;Region of Bratislava;102;Malacky;106;Malacky;19;SMER - sociálna demokracia;6451;15.42; 5 386;83,49
1;Region of Bratislava;102;Malacky;106;Malacky;20;SOLIDARITA - Hnutie pracujúcej chudoby;32;0.07;21;65,62
1;Region of Bratislava;102;Malacky;106;Malacky;21;HLAS ĽUDU;26;0.06;15;57,69
1;Region of Bratislava;102;Malacky;106;Malacky;22;Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť;24;0.05;19;79,16
1;Region of Bratislava;102;Malacky;106;Malacky;23;Práca slovenského národa;12;0.02;3;25,00
1;Region of Bratislava;102;Malacky;106;Malacky;24;Kotlebovci - Ľudová strana Naše Slovensko;3101;7.41; 2 527;81,48
1;Region of Bratislava;102;Malacky;106;Malacky;25;Socialisti.sk;220;0.52;147;66,81
1;Region of Bratislava;103;Pezinok;107;Pezinok;1;Slovenská ľudová strana Andreja Hlinku;54;0.13;35;64,81
1;Region of Bratislava;103;Pezinok;107;Pezinok;2;DOBRÁ VOĽBA;1298;3.17; 1 024;78,89
1;Region of Bratislava;103;Pezinok;107;Pezinok;3;Sloboda a Solidarita;3776;9.22; 2 892;76,58
1;Region of Bratislava;103;Pezinok;107;Pezinok;4;SME RODINA;3093;7.55; 2 331;75,36
1;Region of Bratislava;103;Pezinok;107;Pezinok;5;Slovenské Hnutie Obrody;17;0.04;10;58,82
1;Region of Bratislava;103;Pezinok;107;Pezinok;6;ZA ĽUDÍ;3042;7.43; 2 416;79,42
1;Region of Bratislava;103;Pezinok;107;Pezinok;7;MÁME TOHO DOSŤ !;74;0.18;40;54,05
1;Region of Bratislava;103;Pezinok;107;Pezinok;9;Slovenská národná strana;1035;2.52;768;74,20
1;Region of Bratislava;103;Pezinok;107;Pezinok;10;Demokratická strana;51;0.12;37;72,54
1;Region of Bratislava;103;Pezinok;107;Pezinok;11;OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA;12226;29.86; 10 313;84,35
1;Region of Bratislava;103;Pezinok;107;Pezinok;12;Koalícia Progresívne Slovensko a SPOLU - občianska demokracia;4630;11.31; 3 829;82,69
1;Region of Bratislava;103;Pezinok;107;Pezinok;13;STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI;33;0.08;22;66,66
1;Region of Bratislava;103;Pezinok;107;Pezinok;14;99 % - občiansky hlas;20;0.04;13;65,00
1;Region of Bratislava;103;Pezinok;107;Pezinok;15;Kresťanskodemokratické hnutie;1503;3.67; 1 133;75,38
1;Region of Bratislava;103;Pezinok;107;Pezinok;16;Slovenská liga;6;0.01;5;83,33
1;Region of Bratislava;103;Pezinok;107;Pezinok;17;VLASŤ;1193;2.91;978;81,97
1;Region of Bratislava;103;Pezinok;107;Pezinok;18;MOST - HÍD;118;0.28;96;81,35
1;Region of Bratislava;103;Pezinok;107;Pezinok;19;SMER - sociálna demokracia;6039;14.75; 5 098;84,41
1;Region of Bratislava;103;Pezinok;107;Pezinok;20;SOLIDARITA - Hnutie pracujúcej chudoby;32;0.07;21;65,62
1;Region of Bratislava;103;Pezinok;107;Pezinok;21;HLAS ĽUDU;30;0.07;20;66,66
1;Region of Bratislava;103;Pezinok;107;Pezinok;22;Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť;21;0.05;18;85,71
1;Region of Bratislava;103;Pezinok;107;Pezinok;23;Práca slovenského národa;6;0.01;2;33,33
1;Region of Bratislava;103;Pezinok;107;Pezinok;24;Kotlebovci - Ľudová strana Naše Slovensko;2324;5.67; 1 883;81,02
1;Region of Bratislava;103;Pezinok;107;Pezinok;25;Socialisti.sk;315;0.76;229;72,69
1;Region of Bratislava;104;Senec;108;Senec;1;Slovenská ľudová strana Andreja Hlinku;55;0.1;38;69,09
1;Region of Bratislava;104;Senec;108;Senec;2;DOBRÁ VOĽBA;1419;2.6; 1 121;78,99
1;Region of Bratislava;104;Senec;108;Senec;3;Sloboda a Solidarita;6089;11.19; 4 770;78,33
1;Region of Bratislava;104;Senec;108;Senec;4;SME RODINA;4067;7.47; 3 264;80,25
1;Region of Bratislava;104;Senec;108;Senec;5;Slovenské Hnutie Obrody;22;0.04;14;63,63
1;Region of Bratislava;104;Senec;108;Senec;6;ZA ĽUDÍ;4316;7.93; 3 482;80,67
1;Region of Bratislava;104;Senec;108;Senec;7;MÁME TOHO DOSŤ !;71;0.13;46;64,78
1;Region of Bratislava;104;Senec;108;Senec;9;Slovenská národná strana;969;1.78;758;78,22
1;Region of Bratislava;104;Senec;108;Senec;10;Demokratická strana;78;0.14;62;79,48
1;Region of Bratislava;104;Senec;108;Senec;11;OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA;16456;30.24; 14 252;86,60
1;Region of Bratislava;104;Senec;108;Senec;12;Koalícia Progresívne Slovensko a SPOLU - občianska demokracia;5622;10.33; 4 717;83,90
1;Region of Bratislava;104;Senec;108;Senec;13;STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI;80;0.14;69;86,25
1;Region of Bratislava;104;Senec;108;Senec;14;99 % - občiansky hlas;13;0.02;9;69,23
1;Region of Bratislava;104;Senec;108;Senec;15;Kresťanskodemokratické hnutie;2052;3.77; 1 727;84,16
1;Region of Bratislava;104;Senec;108;Senec;16;Slovenská liga;22;0.04;16;72,72
1;Region of Bratislava;104;Senec;108;Senec;17;VLASŤ;1339;2.46; 1 140;85,13
1;Region of Bratislava;104;Senec;108;Senec;18;MOST - HÍD;1331;2.44; 1 059;79,56
1;Region of Bratislava;104;Senec;108;Senec;19;SMER - sociálna demokracia;5479;10.07; 4 646;84,79
1;Region of Bratislava;104;Senec;108;Senec;20;SOLIDARITA - Hnutie pracujúcej chudoby;42;0.07;22;52,38
1;Region of Bratislava;104;Senec;108;Senec;21;HLAS ĽUDU;29;0.05;23;79,31
1;Region of Bratislava;104;Senec;108;Senec;22;Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť;2219;4.07; 1 888;85,08
1;Region of Bratislava;104;Senec;108;Senec;23;Práca slovenského národa;21;0.03;10;47,61
1;Region of Bratislava;104;Senec;108;Senec;24;Kotlebovci - Ľudová strana Naše Slovensko;2339;4.29; 1 945;83,15
1;Region of Bratislava;104;Senec;108;Senec;25;Socialisti.sk;276;0.5;214;77,53
2;Region of Trnava;201;Dunajská Streda;201;Dunajská Streda;1;Slovenská ľudová strana Andreja Hlinku;79;0.12;55;69,62
2;Region of Trnava;201;Dunajská Streda;201;Dunajská Streda;2;DOBRÁ VOĽBA;495;0.78;390;78,78
2;Region of Trnava;201;Dunajská Streda;201;Dunajská Streda;3;Sloboda a Solidarita;1859;2.95; 1 435;77,19
2;Region of Trnava;201;Dunajská Streda;201;Dunajská Streda;4;SME RODINA;2305;3.66; 1 920;83,29
2;Region of Trnava;201;Dunajská Streda;201;Dunajská Streda;5;Slovenské Hnutie Obrody;10;0.01;6;60,00
2;Region of Trnava;201;Dunajská Streda;201;Dunajská Streda;6;ZA ĽUDÍ;2546;4.04; 2 097;82,36
2;Region of Trnava;201;Dunajská Streda;201;Dunajská Streda;7;MÁME TOHO DOSŤ !;97;0.15;68;70,10
2;Region of Trnava;201;Dunajská Streda;201;Dunajská Streda;9;Slovenská národná strana;299;0.47;236;78,92
2;Region of Trnava;201;Dunajská Streda;201;Dunajská Streda;10;Demokratická strana;26;0.04;16;61,53
2;Region of Trnava;201;Dunajská Streda;201;Dunajská Streda;11;OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA;10150;16.12; 8 815;86,84
2;Region of Trnava;201;Dunajská Streda;201;Dunajská Streda;12;Koalícia Progresívne Slovensko a SPOLU - občianska demokracia;2791;4.43; 2 291;82,08
2;Region of Trnava;201;Dunajská Streda;201;Dunajská Streda;13;STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI;72;0.11;61;84,72
2;Region of Trnava;201;Dunajská Streda;201;Dunajská Streda;14;99 % - občiansky hlas;12;0.01;11;91,66
2;Region of Trnava;201;Dunajská Streda;201;Dunajská Streda;15;Kresťanskodemokratické hnutie;374;0.59;292;78,07
2;Region of Trnava;201;Dunajská Streda;201;Dunajská Streda;16;Slovenská liga;10;0.01;7;70,00
2;Region of Trnava;201;Dunajská Streda;201;Dunajská Streda;17;VLASŤ;551;0.87;479;86,93
2;Region of Trnava;201;Dunajská Streda;201;Dunajská Streda;18;MOST - HÍD;10673;16.95; 9 155;85,77
2;Region of Trnava;201;Dunajská Streda;201;Dunajská Streda;19;SMER - sociálna demokracia;2473;3.92; 2 098;84,83
2;Region of Trnava;201;Dunajská Streda;201;Dunajská Streda;20;SOLIDARITA - Hnutie pracujúcej chudoby;25;0.03;12;48,00
2;Region of Trnava;201;Dunajská Streda;201;Dunajská Streda;21;HLAS ĽUDU;21;0.03;13;61,90
2;Region of Trnava;201;Dunajská Streda;201;Dunajská Streda;22;Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť;27083;43.01; 23 530;86,88
2;Region of Trnava;201;Dunajská Streda;201;Dunajská Streda;23;Práca slovenského národa;7;0.01;3;42,85
2;Region of Trnava;201;Dunajská Streda;201;Dunajská Streda;24;Kotlebovci - Ľudová strana Naše Slovensko;891;1.41;727;81,59
2;Region of Trnava;201;Dunajská Streda;201;Dunajská Streda;25;Socialisti.sk;115;0.18;89;77,39
2;Region of Trnava;202;Galanta;202;Galanta;1;Slovenská ľudová strana Andreja Hlinku;108;0.21;78;72,22
2;Region of Trnava;202;Galanta;202;Galanta;2;DOBRÁ VOĽBA;896;1.76;643;71,76
2;Region of Trnava;202;Galanta;202;Galanta;3;Sloboda a Solidarita;2553;5.01; 1 949;76,34
2;Region of Trnava;202;Galanta;202;Galanta;4;SME RODINA;4064;7.98; 3 256;80,11
2;Region of Trnava;202;Galanta;202;Galanta;5;Slovenské Hnutie Obrody;25;0.04;18;72,00
2;Region of Trnava;202;Galanta;202;Galanta;6;ZA ĽUDÍ;2082;4.09; 1 573;75,55
2;Region of Trnava;202;Galanta;202;Galanta;7;MÁME TOHO DOSŤ !;106;0.2;71;66,98
2;Region of Trnava;202;Galanta;202;Galanta;9;Slovenská národná strana;959;1.88;661;68,92
2;Region of Trnava;202;Galanta;202;Galanta;10;Demokratická strana;47;0.09;29;61,70
2;Region of Trnava;202;Galanta;202;Galanta;11;OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA;13727;26.96; 11 465;83,52
2;Region of Trnava;202;Galanta;202;Galanta;12;Koalícia Progresívne Slovensko a SPOLU - občianska demokracia;2483;4.87; 1 947;78,41
